File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Projected.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.1.mm2,Volume.Diameter.Range.1.mm3
POEM2021_T001_L034_2023.06.19_092143_033_IAC.png,Full,86,49,103.025277,0.475611,7.843636,0.080211,0.067568,0.311984,208.341905,0.677773,26.121114,0.397,103.025277,8.31293,26.121114,0.677773
POEM2021_T001_L036_2022.09.01_093446_026_IAC.png,Full,65,31,136.489123,0.227124,10.658327,0.083587,0.081081,0.252453,273.485484,0.815942,35.75228,0.392,136.489123,11.37972,35.75228,0.815942
POEM2021_T001_L036_2022.10.12_092004_027_IAC.png,Full,67,26,122.086378,0.212964,10.153168,0.088704,0.085467,0.311984,247.207232,0.839299,33.982983,0.431,122.086378,10.817119,33.982983,0.839299
POEM2021_T001_L036_2022.11.08_111239_028_IAC.png,Full,89,98,171.576799,0.571173,26.496302,0.175784,0.133777,0.604343,324.920271,6.005348,94.92558,0.51,171.576799,30.215751,94.92558,6.005348
POEM2021_T001_L036_2023.02.15_100340_029_IAC.png,Full,98,81,163.603366,0.4951,16.435446,0.112293,0.094595,0.797755,319.11822,2.488407,58.00427,0.436,163.603366,18.463333,58.00427,2.488407
POEM2021_T001_L036_2023.03.29_101951_030_ABC.png,Full,89,93,153.009004,0.607807,14.793919,0.106068,0.090651,0.564503,302.702697,1.813313,51.17706,0.491,153.009004,16.290164,51.17706,1.813313
POEM2021_T001_L036_2023.04.21_090823_031_IAC.png,Full,105,79,154.23315,0.512212,14.420654,0.100836,0.085467,0.453257,308.785775,1.603983,49.004405,0.436,154.23315,15.595612,49.004405,1.603983
POEM2021_T001_L036_2023.05.25_090217_032_IAC.png,Full,74,55,114.289904,0.481232,10.538577,0.098522,0.090651,0.300049,229.233725,1.041355,35.498733,0.379,114.289904,11.29779,35.498733,1.041355
POEM2021_T001_L036_2023.06.19_092154_033_IAC.png,Full,58,17,104.645356,0.162453,8.537756,0.086605,0.081081,0.22973,210.722747,0.700052,28.369801,0.335,104.645356,9.030388,28.369801,0.700052
POEM2021_T001_L038_2022.09.01_093454_026_IAC.png,Full,61,59,93.689258,0.629741,7.363084,0.084611,0.078797,0.269255,185.874694,0.602298,24.92669,0.357,93.689258,7.934024,24.92669,0.602298
